 Run ID	Sample No.	Animal ID	Group	Dose (mg)	Matrix	Nominal Timepoint (Day)	LLOQ (ng/g)	Concentration (ng/g)	Dilution
AN423.0-24_01_AB02	57	456	4	200	Brain, caudate (BRCA)	29	20	55.4	1
AN423.0-24_01_AB02	59	101	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	60	102	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	61	103	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	62	104	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	63	105	1	0	Brain, putamen (BRPU)	29	20	BQL	1
AN423.0-24_01_AB02	69	106	1	0	Brain, putamen (BRPU)	29	20	BQL	1
AN423.0-24_01_AB02	70	151	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	71	152	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	72	153	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	73	154	1	0	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	74	155	1	0	Brain, putamen (BRPU)	29	20	BQL	1
AN423.0-24_01_AB02	75	156	1	0	Brain, putamen (BRPU)	29	20	BQL	1
AN423.0-24_01_AB02	76	201	2	20	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	77	202	2	20	Brain, putamen (BRPU)	2	20	38.6	1
AN423.0-24_01_AB02	78	203	2	20	Brain, putamen (BRPU)	2	20	BQL	1
AN423.0-24_01_AB02	79	204	2	20	Brain, putamen (BRPU)	2	20	248.5	1
AN423.0-24_01_AB02	80	205	2	20	Brain, putamen (BRPU)	29	20	570.4	1
AN423.0-24_01_AB02	81	206	2	20	Brain, putamen (BRPU)	29	20	62.0	1
AN423.0-24_01_AB02	82	251	2	20	Brain, putamen (BRPU)	2	20	30.0	1
AN423.0-24_01_AB02	83	252	2	20	Brain, putamen (BRPU)	2	20	38.6	1
AN423.0-24_01_AB02	84	253	2	20	Brain, putamen (BRPU)	2	20	45.4	1
AN423.0-24_01_AB02	85	254	2	20	Brain, putamen (BRPU)	2	20	132.2	1
AN423.0-24_01_AB02	86	255	2	20	Brain, putamen (BRPU)	29	20	34.9	1
AN423.0-24_01_AB02	87	256	2	20	Brain, putamen (BRPU)	29	20	BQL	1
AN423.0-24_01_AB02	88	301	3	60	Brain, putamen (BRPU)	2	20	99.6	1
AN423.0-24_01_AB02	89	303	3	60	Brain, putamen (BRPU)	2	20	83.9	1
AN423.0-24_01_AB02	95	304	3	60	Brain, putamen (BRPU)	2	20	526.8	1
AN423.0-24_01_AB02	96	351	3	60	Brain, putamen (BRPU)	2	20	23.2	1
AN423.0-24_01_AB02	97	353	3	60	Brain, putamen (BRPU)	2	20	58.2	1
AN423.0-24_01_AB02	98	354	3	60	Brain, putamen (BRPU)	2	20	32.5	1
AN423.0-24_01_AB02	99	402	4	200	Brain, putamen (BRPU)	2	20	118.4	1
AN423.0-24_01_AB02	100	403	4	200	Brain, putamen (BRPU)	2	20	105.2	1
AN423.0-24_01_AB02	101	404	4	200	Brain, putamen (BRPU)	2	20	322.2	1
AN423.0-24_01_AB02	102	406	4	200	Brain, putamen (BRPU)	29	20	48.6	1
AN423.0-24_01_AB02	103	451	4	200	Brain, putamen (BRPU)	2	20	57.1	1
AN423.0-24_01_AB02	104	452	4	200	Brain, putamen (BRPU)	2	20	58.2	1
AN423.0-24_01_AB02	105	456	4	200	Brain, putamen (BRPU)	29	20	50.3	1
AN423.0-24_01_AB02	107	101	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	108	102	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	109	103	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	110	104	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	111	105	1	0	Brain, thalamus (BRTH)	29	20	BQL	1
AN423.0-24_01_AB02	112	106	1	0	Brain, thalamus (BRTH)	29	20	BQL	1
AN423.0-24_01_AB02	113	151	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	114	152	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	115	153	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	116	154	1	0	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	122	155	1	0	Brain, thalamus (BRTH)	29	20	BQL	1
AN423.0-24_01_AB02	123	156	1	0	Brain, thalamus (BRTH)	29	20	BQL	1
AN423.0-24_01_AB02	124	201	2	20	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	125	202	2	20	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	126	203	2	20	Brain, thalamus (BRTH)	2	20	BQL	1
AN423.0-24_01_AB02	127	204	2	20	Brain, thalamus (BRTH)	2	20	507.2	1
AN423.0-24_01_AB02	128	205	2	20	Brain, thalamus (BRTH)	29	20	2,444.2	1
AN423.0-24_01_AB02	129	206	2	20	Brain, thalamus (BRTH)	29	20	102.4	1
AN423.0-24_01_AB02	130	251	2	20	Brain, thalamus (BRTH)	2	20	31.6	1
AN423.0-24_01_AB02	131	252	2	20	Brain, thalamus (BRTH)	2	20	33.6	1
AN423.0-24_01_AB02	132	253	2	20	Brain, thalamus (BRTH)	2	20	28.3	1
AN423.0-24_01_AB02	133	254	2	20	Brain, thalamus (BRTH)	2	20	68.4	1
