study_id	qpcr_id	region	well	sample_id	sample_group	target	control	target_ct	control_ct	delta_ct	twoddct	mincol	platecolincrement	biorep
CMR-1313	JES0013	VC	G15		2440-hiPS	IBA1	TBP	23.430191040039062	26.765560150146484	-3.335369110107422	0.9499941809144458	14	2	CMR-1313-JES0013-G14-15
CMR-1313	JES0013	VC	H14		2440-exNA	IBA1	TBP	24.21965217590332	27.524381637573242	-3.304729461669922	0.9300311435686349	14	2	CMR-1313-JES0013-H14-15
CMR-1313	JES0013	VC	H15		2440-exNA	IBA1	TBP	23.969213485717773	27.166704177856445	-3.197490692138672	0.8634066822463786	14	2	CMR-1313-JES0013-H14-15
CMR-1313	JES0013	VC	I14		2440-exNA	IBA1	TBP	23.336050033569336	26.706264495849609	-3.3702144622802734	0.9732186913881102	14	2	CMR-1313-JES0013-I14-15
CMR-1313	JES0013	VC	I15		2440-exNA	IBA1	TBP	23.236688613891602	26.635686874389648	-3.398998260498047	0.9928307688646913	14	2	CMR-1313-JES0013-I14-15
CMR-1313	JES0013	VC	J14		2440-exNA	IBA1	TBP	24.9129638671875	28.100065231323242	-3.187101364135742	0.8572113370035207	14	2	CMR-1313-JES0013-J14-15
CMR-1313	JES0013	VC	J15		2440-exNA	IBA1	TBP	24.87486457824707	28.034177780151367	-3.159313201904297	0.8408583394755637	14	2	CMR-1313-JES0013-J14-15
CMR-1313	JES0013	VC	K14		2440-exNA	IBA1	TBP	23.84046745300293	27.268203735351562	-3.427736282348633	1.0128059277817913	14	2	CMR-1313-JES0013-K14-15
CMR-1313	JES0013	VC	K15		2440-exNA	IBA1	TBP	23.706201553344727	27.173191070556641	-3.466989517211914	1.0407409322305339	14	2	CMR-1313-JES0013-K14-15
CMR-1313	JES0013	VC	L14		2440-exNA	IBA1	TBP	24.10774040222168	27.60133171081543	-3.49359130859375	1.0601091250899808	14	2	CMR-1313-JES0013-L14-15
CMR-1313	JES0013	VC	L15		2440-exNA	IBA1	TBP	23.959188461303711	27.458927154541016	-3.4997386932373047	1.0646359325600094	14	2	CMR-1313-JES0013-L14-15
CMR-1313	JES0013	VC	M14		2440-exNA	IBA1	TBP	23.873895645141602	27.528144836425781	-3.6542491912841797	1.1849865323829956	14	2	CMR-1313-JES0013-M14-15
CMR-1313	JES0013	VC	M15		2440-exNA	IBA1	TBP	23.716592788696289	27.420116424560547	-3.703523635864258	1.2261581816927503	14	2	CMR-1313-JES0013-M14-15
CMR-1313	JES0013	VC	N14		2440-exNA	IBA1	TBP	23.733030319213867	27.468786239624023	-3.7357559204101562	1.253860972619845	14	2	CMR-1313-JES0013-N14-15
CMR-1313	JES0013	VC	N15		2440-exNA	IBA1	TBP	23.722633361816406	27.460762023925781	-3.738128662109375	1.2559248433446146	14	2	CMR-1313-JES0013-N14-15
CMR-1313	JES0013	VC	P6		no lysate	IBA1	TBP	Undetermined	Undetermined			6	2	CMR-1313-JES0013-P6-7
CMR-1313	JES0013	VC	P7		no lysate	IBA1	TBP	Undetermined	Undetermined			6	2	CMR-1313-JES0013-P6-7
CMR-1313	JES0013	VC	P8		no lysate	IBA1	TBP	Undetermined	Undetermined			6	2	CMR-1313-JES0013-P8-9
CMR-1313	JES0013	VC	P9		no lysate	IBA1	TBP	Undetermined	Undetermined			6	2	CMR-1313-JES0013-P8-9
CMR-1313	JES0013	VC	A7		saline	PRNP	TBP	15.185966491699219	27.158903121948242	-11.972936630249023	0.9917900986080013	7	1	CMR-1313-JES0013-A7-8
CMR-1313	JES0013	VC	A8		saline	PRNP	TBP	14.979526519775391	27.08686637878418	-12.107339859008789	1.0886271759573583	7	1	CMR-1313-JES0013-A7-8
CMR-1313	JES0013	VC	B7		saline	PRNP	TBP	15.60197639465332	27.662158966064453	-12.060182571411133	1.0536185629658765	7	1	CMR-1313-JES0013-B7-8
CMR-1313	JES0013	VC	B8		saline	PRNP	TBP	15.082744598388672	27.104087829589844	-12.021343231201172	1.0256321054280815	7	1	CMR-1313-JES0013-B7-8
CMR-1313	JES0013	VC	C7		saline	PRNP	TBP	15.436038970947266	27.522270202636719	-12.086231231689453	1.0728150110918144	7	1	CMR-1313-JES0013-C7-8
CMR-1313	JES0013	VC	C8		saline	PRNP	TBP	14.99637508392334	27.11979866027832	-12.12342357635498	1.1008315119252485	7	1	CMR-1313-JES0013-C7-8
CMR-1313	JES0013	VC	D7		saline	PRNP	TBP	15.539602279663086	27.380874633789062	-11.841272354125977	0.9052840564439798	7	1	CMR-1313-JES0013-D7-8
CMR-1313	JES0013	VC	D8		saline	PRNP	TBP	15.208011627197266	27.100397109985352	-11.892385482788086	0.9379322234981983	7	1	CMR-1313-JES0013-D7-8
CMR-1313	JES0013	VC	E7		saline	PRNP	TBP	15.463475227355957	27.298711776733398	-11.835236549377441	0.9015045303086303	7	1	CMR-1313-JES0013-E7-8
CMR-1313	JES0013	VC	E8		saline	PRNP	TBP	15.23420524597168	27.281049728393555	-12.046844482421875	1.0439224771743387	7	1	CMR-1313-JES0013-E7-8
CMR-1313	JES0013	VC	F7		saline	PRNP	TBP	15.707859992980957	27.641988754272461	-11.934128761291504	0.9654670035687448	7	1	CMR-1313-JES0013-F7-8
CMR-1313	JES0013	VC	F8		saline	PRNP	TBP	15.430142402648926	27.326776504516602	-11.896634101867676	0.9406984284260139	7	1	CMR-1313-JES0013-F7-8
CMR-1313	JES0013	VC	H7		NTC	PRNP	TBP	14.522858619689941	26.318988800048828	-11.796130180358887	0.8773961480226173	7	1	CMR-1313-JES0013-H7-8
