animal	scaffold	region	dose_dio	residual
97836.4	s2 fixed	PFC	0.2	0.8002005936487436
97836.4	s2 fixed	VC	0.2	0.4708025569005156
97836.4	s2 fixed	Str	0.2	0.5755614712561151
97836.4	s2 fixed	Thal	0.2	0.5608509648775164
97836.4	s2 fixed	CB	0.2	1.2317918317118557
97838.2	s2 fixed	HP	5	0.20412523111679148
97838.2	s2 fixed	PFC	5	0.2854130209253958
97838.2	s2 fixed	VC	5	0.2281361915240948
97838.2	s2 fixed	Str	5	0.19853427787155162
97838.2	s2 fixed	Thal	5	0.10701415943745884
97838.2	s2 fixed	CB	5	0.2652877817079663
97838.3	s2 fixed	HP	5	0.13956297740544715
97838.3	s2 fixed	PFC	5	0.17765593171538224
97838.3	s2 fixed	VC	5	0.11970644840153588
97838.3	s2 fixed	Str	5	0.1955877429154362
97838.3	s2 fixed	Thal	5	0.12674584560847946
97838.3	s2 fixed	CB	5	0.2863644012524957
97839.1	s2 fixed	HP	5	1.329863547842232
97839.1	s2 fixed	PFC	5	0.24476734171082884
97839.1	s2 fixed	VC	5	0.23382738360173666
97839.1	s2 fixed	Str	5	0.23430456408200562
97839.1	s2 fixed	Thal	5	0.1596096125571643
97839.1	s2 fixed	CB	5	0.41300827167772064
97839.2	s2 fixed	HP	5	0.24538798934121728
97839.2	s2 fixed	PFC	5	0.19056807231507145
97839.2	s2 fixed	VC	5	0.18411919972398288
97839.2	s2 fixed	Str	5	0.23955221751478994
97839.2	s2 fixed	Thal	5	0.21330889227645763
97839.2	s2 fixed	CB	5	0.37491481060970067
97823.2	s4 fixed	HP	5	0.1195910665617025
97823.2	s4 fixed	PFC	5	0.2109096081911126
97823.2	s4 fixed	VC	5	0.109606901554548
97823.2	s4 fixed	Str	5	0.18008134623628758
97823.2	s4 fixed	Thal	5	0.09556220319222337
97823.2	s4 fixed	CB	5	0.22908183264659257
97823.3	s4 fixed	HP	5	0.12893193043317666
97823.3	s4 fixed	PFC	5	0.13931157756747972
97823.3	s4 fixed	VC	5	0.19360178907044198
97823.3	s4 fixed	Str	5	0.19466004397494335
97823.3	s4 fixed	Thal	5	0.1695105480132012
97823.3	s4 fixed	CB	5	0.3152042577247381
97824.1	s4 fixed	HP	5	0.1802895868681315
97824.1	s4 fixed	PFC	5	0.15912635365854733
97824.1	s4 fixed	VC	5	0.17969246553823764
97824.1	s4 fixed	Str	5	0.15948394834876414
97824.1	s4 fixed	Thal	5	0.12878624044893344
97824.1	s4 fixed	CB	5	0.2956898048528881
97824.2	s4 fixed	HP	5	0.13704169999509308
97824.2	s4 fixed	PFC	5	0.10181691481557575
97824.2	s4 fixed	VC	5	0.26340002806790686
97824.2	s4 fixed	Str	5	0.15089154229487148
97824.2	s4 fixed	Thal	5	0.132396192325205
97825.1	s4 fixed	HP	5	0.150558565046922
97825.1	s4 fixed	PFC	5	0.10829104143157281
97825.1	s4 fixed	VC	5	0.1262682551704128
97825.1	s4 fixed	Str	5	0.16853879399029836
97825.1	s4 fixed	Thal	5	0.13426460137624982
97825.1	s4 fixed	CB	5	0.25683514412988073
97825.2	s4 fixed	HP	5	0.252956340379556
97825.2	s4 fixed	PFC	5	0.2083996162876988
97825.2	s4 fixed	VC	5	0.13456373338014335
97825.2	s4 fixed	Str	5	0.19867513963123345
97825.2	s4 fixed	Thal	5	0.2019057016999866
97825.2	s4 fixed	CB	5	0.27971123028208467
97825.3	s4 fixed	HP	5	0.11857007028279114
97825.3	s4 fixed	PFC	5	0.13674645402740757
97825.3	s4 fixed	VC	5	0.10068563405692202
97825.3	s4 fixed	Str	5	0.1674489711934189
97825.3	s4 fixed	Thal	5	0.1290556447266092
97825.3	s4 fixed	CB	5	0.2769537646743927
97825.4	s4 fixed	HP	5	0.09154639551820186
97825.4	s4 fixed	PFC	5	0.1484761173590086
97825.4	s4 fixed	VC	5	0.11649373651300407
97825.4	s4 fixed	Str	5	0.13691663406361715
97825.4	s4 fixed	Thal	5	0.08929693059451747
97825.4	s4 fixed	CB	5	0.2900784631160328
97826.1	s4 fixed	HP	1	0.19676138634809748
97826.1	s4 fixed	PFC	1	0.2387721083729565
97826.1	s4 fixed	VC	1	0.20937967809928512
97826.1	s4 fixed	Str	1	0.2958131759737359
97826.1	s4 fixed	Thal	1	0.24919366366671852
97826.1	s4 fixed	CB	1	0.3445615901492068
97826.2	s4 fixed	HP	1	0.21263029294847816
97826.2	s4 fixed	PFC	1	0.21719688656262864
97826.2	s4 fixed	VC	1	0.22734553747758787
97826.2	s4 fixed	Str	1	0.41392399097321625
97826.2	s4 fixed	Thal	1	0.22644852417896197
97826.2	s4 fixed	CB	1	0.39981764187013524
97826.3	s4 fixed	HP	1	0.11937272204133466
97826.3	s4 fixed	PFC	1	0.2824664693368418
97826.3	s4 fixed	VC	1	0.13874227911780887
97826.3	s4 fixed	Str	1	0.3716861115270287
97826.3	s4 fixed	Thal	1	0.22277335498483603
97826.3	s4 fixed	CB	1	0.38280099643606025
97826.4	s4 fixed	HP	1	0.1386591334495464
97826.4	s4 fixed	PFC	1	0.22852233889264434
97826.4	s4 fixed	VC	1	0.1726888912823643
97826.4	s4 fixed	Str	1	0.3010871578396538
97826.4	s4 fixed	Thal	1	0.18873841720380616
97826.4	s4 fixed	CB	1	0.4533738945878969
97826.5	s4 fixed	HP	1	0.14531049744032754
97826.5	s4 fixed	PFC	1	0.15752474612187775
97826.5	s4 fixed	VC	1	0.07746016295017263
97826.5	s4 fixed	Str	1	0.09848555365115419
97826.5	s4 fixed	Thal	1	0.12060822854795221
97826.5	s4 fixed	CB	1	0.3763422985806442
97829.2	s4 fixed	HP	1	0.15096487825777885
97829.2	s4 fixed	PFC	1	0.35640162203788867
97829.2	s4 fixed	VC	1	0.3482276269081407
97829.2	s4 fixed	Str	1	0.533401622638549
97829.2	s4 fixed	Thal	1	0.18530584922990975
97829.2	s4 fixed	CB	1	0.5002201492383397
97829.3	s4 fixed	HP	1	0.4422294716502877
97829.3	s4 fixed	PFC	1	0.38014334433823926
97829.3	s4 fixed	VC	1	0.7982519366212695
97829.3	s4 fixed	Str	1	0.912831171006863
97829.3	s4 fixed	Thal	1	0.8289617229263853
97829.3	s4 fixed	CB	1	0.5363536453990969
97829.4	s4 fixed	HP	1	0.5510570179184651
97829.4	s4 fixed	PFC	1	0.48138536206804267
97829.4	s4 fixed	VC	1	0.28027006272873295
97829.4	s4 fixed	Str	1	0.4391940549996067
97829.4	s4 fixed	Thal	1	0.5613245218162065
97829.4	s4 fixed	CB	1	0.41653540480977314
97830.1	s4 fixed	HP	0.2	0.8288771725334253
97830.1	s4 fixed	PFC	0.2	0.4531894802805176
97830.1	s4 fixed	VC	0.2	0.7984691031612843
97830.1	s4 fixed	Str	0.2	0.646062239285184
97830.1	s4 fixed	Thal	0.2	0.3534747880568086
97830.1	s4 fixed	CB	0.2	0.6182564075562054
97830.2	s4 fixed	HP	0.2	0.6828392466404722
97830.2	s4 fixed	PFC	0.2	0.5220609122048591
97830.2	s4 fixed	VC	0.2	0.49256561088973044
97830.2	s4 fixed	Str	0.2	0.4886480935083783
97830.2	s4 fixed	Thal	0.2	0.4364545460624645
97830.2	s4 fixed	CB	0.2	0.6900774754541295
97830.3	s4 fixed	HP	0.2	0.4262783627000392
97830.3	s4 fixed	PFC	0.2	0.49986806124530786
