run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN411.0-24_01_AB01	133	254	2	20	Plasma	0.5	1	12.1	0.0121	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	164	254	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	153	255	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	84	255	2	20	Plasma	0.020833333333333332	1	351.5	0.3515	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	102	255	2	20	Plasma	0.16666666666666666	1	177	0.177	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	121	255	2	20	Plasma	0.3333333333333333	1	28.1	0.0281	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	134	255	2	20	Plasma	0.5	1	5.5	0.0055	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	165	255	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	169	255	2	20	Plasma	2	1	0.5	5e-4	0.001	2	#f768a1	3	48
AN411.0-24_01_AB03	178	255	2	20	Plasma	3	1	0.5	5e-4	0.001	2	#f768a1	3	72
AN411.0-24_01_AB03	154	256	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	85	256	2	20	Plasma	0.020833333333333332	1	264.7	0.2647	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	103	256	2	20	Plasma	0.16666666666666666	1	163.4	0.16340000000000002	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	122	256	2	20	Plasma	0.3333333333333333	1	27.3	0.0273	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	135	256	2	20	Plasma	0.5	1	7	0.007	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	166	256	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	170	256	2	20	Plasma	2	1	0.5	5e-4	0.001	2	#f768a1	3	48
AN411.0-24_01_AB03	179	256	2	20	Plasma	3	1	0.5	5e-4	0.001	2	#f768a1	3	72
AN411.0-24_01_AB03	180	301	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	61	301	3	60	Plasma	0.020833333333333332	1	3501.6	3.5016	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	75	301	3	60	Plasma	0.16666666666666666	1	1218.6	1.2186	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	174	301	3	60	Plasma	0.3333333333333333	1	154.5	0.1545	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	187	301	3	60	Plasma	0.5	1	15.2	0.0152	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	192	301	3	60	Plasma	1	1	0.5	5e-4	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	181	302	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	254	302	3	60	Plasma	0.020833333333333332	1	456.8	0.4568	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	76	302	3	60	Plasma	0.16666666666666666	1	1082.7	1.0827	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	175	302	3	60	Plasma	0.3333333333333333	1	296.5	0.2965	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	188	302	3	60	Plasma	0.5	1	125.1	0.1251	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	193	302	3	60	Plasma	1	1	26	0.026	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	182	303	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	62	303	3	60	Plasma	0.020833333333333332	1	4874	4.874	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	77	303	3	60	Plasma	0.16666666666666666	1	1816.1	1.8160999999999998	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	176	303	3	60	Plasma	0.3333333333333333	1	99.1	0.0991	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	189	303	3	60	Plasma	0.5	1	17.8	0.0178	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	194	303	3	60	Plasma	1	1	0.5	5e-4	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	183	304	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	63	304	3	60	Plasma	0.020833333333333332	1	3944.9	3.9449	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	78	304	3	60	Plasma	0.16666666666666666	1	1538.9	1.5389000000000002	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	177	304	3	60	Plasma	0.3333333333333333	1	139	0.139	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	190	304	3	60	Plasma	0.5	1	33.5	0.0335	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	195	304	3	60	Plasma	1	1	0.5	5e-4	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	184	305	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	64	305	3	60	Plasma	0.020833333333333332	1	4612.8	4.6128	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	79	305	3	60	Plasma	0.16666666666666666	1	3000.1	3.0000999999999998	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	178	305	3	60	Plasma	0.3333333333333333	1	141.8	0.1418	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	191	305	3	60	Plasma	0.5	1	30.6	0.030600000000000002	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	196	305	3	60	Plasma	1	1	1.2	0.0012	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	209	305	3	60	Plasma	2	1	0.5	5e-4	0.001	3	#c51b8a	2	48
AN411.0-24_01_AB03	213	305	3	60	Plasma	3	1	0.5	5e-4	0.001	3	#c51b8a	2	72
AN411.0-24_01_AB03	185	306	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	70	306	3	60	Plasma	0.020833333333333332	1	3593.7	3.5936999999999997	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	80	306	3	60	Plasma	0.16666666666666666	1	1678.1	1.6781	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	179	306	3	60	Plasma	0.3333333333333333	1	495.7	0.4957	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	192	306	3	60	Plasma	0.5	1	49.9	0.0499	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	202	306	3	60	Plasma	1	1	1.8	0.0018	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	210	306	3	60	Plasma	2	1	0.5	5e-4	0.001	3	#c51b8a	2	48
AN411.0-24_01_AB03	214	306	3	60	Plasma	3	1	0.5	5e-4	0.001	3	#c51b8a	2	72
AN411.0-24_01_AB03	186	351	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	71	351	3	60	Plasma	0.020833333333333332	1	4964.4	4.9643999999999995	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	81	351	3	60	Plasma	0.16666666666666666	1	2203.4	2.2034000000000002	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	180	351	3	60	Plasma	0.3333333333333333	1	342.1	0.3421	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	193	351	3	60	Plasma	0.5	1	34	0.034	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	203	351	3	60	Plasma	1	1	1.3	0.0013	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	187	352	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	255	352	3	60	Plasma	0.020833333333333332	1	125.7	0.1257	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	82	352	3	60	Plasma	0.16666666666666666	1	1866.4	1.8664	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	181	352	3	60	Plasma	0.3333333333333333	1	820.3	0.8202999999999999	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	194	352	3	60	Plasma	0.5	1	161.6	0.1616	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	204	352	3	60	Plasma	1	1	25.4	0.0254	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	188	353	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	72	353	3	60	Plasma	0.020833333333333332	1	9655.5	9.6555	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	83	353	3	60	Plasma	0.16666666666666666	1	2410.8	2.4108	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	182	353	3	60	Plasma	0.3333333333333333	1	258.7	0.2587	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	201	353	3	60	Plasma	0.5	1	35.7	0.0357	0.001	3	#c51b8a	2	12
AN411.0-24_01_AB03	205	353	3	60	Plasma	1	1	1.2	0.0012	0.001	3	#c51b8a	2	24
AN411.0-24_01_AB03	189	354	3	60	Plasma	0	1	0.5	5e-4	0.001	3	#c51b8a	2	0
AN411.0-24_01_AB03	73	354	3	60	Plasma	0.020833333333333332	1	9282.1	9.2821	0.001	3	#c51b8a	2	0.5
AN411.0-24_01_AB03	84	354	3	60	Plasma	0.16666666666666666	1	2680.1	2.6801	0.001	3	#c51b8a	2	4
AN411.0-24_01_AB01	183	354	3	60	Plasma	0.3333333333333333	1	155	0.155	0.001	3	#c51b8a	2	8
AN411.0-24_01_AB01	202	354	3	60	Plasma	0.5	1	21.3	0.0213	0.001	3	#c51b8a	2	12
